id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
457,N1,LRP201B,198.117,22.6452774,91.6430552,Box culvert,bridge,Box Culvert,469.99999999999886,A
458,N1,LRP202,198.587,22.641583,91.6451108,Km post missing,link,,974.000000000018,N/A
459,N1,LRP202A,199.561,22.6338608,91.6494719,Box culvert,bridge,Box Culvert,86.99999999998909,A
460,N1,LRP203,199.648,22.6330827,91.649833,"Ctg 42 km,Sitakanda 2 km",link,,134.9999999999909,N/A
461,N1,LRP203A,199.783,22.6320271,91.6503889,Box culvert,bridge,Box Culvert,782.0000000000107,A
462,N1,LRP203B,200.565,22.625916,91.6541389,Box culvert,bridge,Box Culvert,82.99999999999841,A
463,N1,LRP204,200.648,22.6252216,91.6545278,Km post missing,link,,218.9999999999941,N/A
464,N1,LRP204A,200.867,22.6234716,91.6553056,Box culvert,bridge,Culvert,332.9999999999984,A
465,N1,LRP204B,201.2,22.6206938,91.6563611,Box culvert,bridge,Culvert,163.0000000000109,A
466,N1,LRP204C,201.363,22.6194993,91.6568889,Bridge start,bridge,Box Culvert,20.000000000010232,A
467,N1,LRP204D,201.383,22.6180271,91.6578333,Bridge end / Box culvert,bridge,Box Culvert,252.9999999999859,A
468,N1,LRP204F,201.636,22.6175271,91.65825,Box culvert,bridge,Box Culvert,91.00000000000819,A
469,N1,LRP205,201.727,22.6169716,91.65875,"Ctg 40 km,Sitakanda 0 km",link,,15.999999999991132,N/A
470,N1,LRP205A,201.743,22.6168604,91.6588611,Box culvert,bridge,Box Culvert,611.9999999999948,A
471,N1,LRP205B,202.355,22.6123889,91.6622222,Box culvert,bridge,Box Culvert,372.0000000000141,A
472,N1,LRP206,202.727,22.6094444,91.6638333,Km post missing,link,,72.00000000000273,N/A
473,N1,LRP206A,202.799,22.6088889,91.6641111,Box culvert,bridge,Box Culvert,951.9999999999982,A
474,N1,LRP207,203.751,22.6015833,91.6688327,Ctg 38 km,link,,129.99999999999545,N/A
475,N1,LRP207A,203.881,22.601,91.6692771,Box culvert,bridge,Box Culvert,115.0000000000091,A
476,N1,LRP207B,203.996,22.6000556,91.6699438,Box culvert,bridge,Box Culvert,48.99999999997817,B
477,N1,LRP207C,204.045,22.5994441,91.6703049,Box culvert,bridge,Box Culvert,681.0000000000116,B
478,N1,LRP207D,204.726,22.5942219,91.6737771,Box culvert,bridge,Box Culvert,25.000000000005684,A
479,N1,LRP208,204.751,22.5939997,91.6738327,Km post missing,link,,407.99999999998704,N/A
480,N1,LRP208A,205.159,22.5907497,91.6754716,Box culvert,bridge,Bridge,757.000000000005,C
481,N1,LRP209,205.916,22.584583,91.6780827,Info.Missing,link,,116.99999999999022,N/A
482,N1,LRP209A,206.033,22.5836663,91.6784716,Bridge start,bridge,Box Culvert,26.00000000001046,A
483,N1,LRP209B,206.059,22.5834997,91.6785827,Bridge end,bridge,Box Culvert,342.9999999999893,A
484,N1,LRP209C,206.402,22.580666,91.6799438,Road to Katirhat (Z1087),link,,331.0000000000173,N/A
485,N1,LRP209D,206.733,22.5779438,91.6811382,Box culvert,bridge,Box Culvert,182.99999999999272,A
486,N1,LRP210,206.916,22.5763604,91.6818049,Km post missing,link,,377.00000000000955,N/A
487,N1,LRP210A,207.293,22.5731938,91.6830827,Bridge start,bridge,Box Culvert,18.000000000000682,A
488,N1,LRP210B,207.311,22.5730549,91.6831938,Bridge end,bridge,Box Culvert,604.9999999999898,A
489,N1,LRP211,207.916,22.5679716,91.6846941,Km post missing,link,,177.99999999999727,N/A
490,N1,LRP211A,208.094,22.5664722,91.6851663,Box culvert,bridge,Box Culvert,275.0000000000057,A
491,N1,LRP211B,208.369,22.5641389,91.6859163,Bridge start,bridge,Box Culvert,14.000000000010004,A
492,N1,LRP211C,208.383,22.564,91.6859441,Bridge end,bridge,Box Culvert,216.99999999998454,A
493,N1,LRP211D,208.6,22.5624722,91.6863608,Box culvert,bridge,Box Culvert,316.0000000000025,A
494,N1,LRP212,208.916,22.5594444,91.6872219,Km post missing,link,,938.999999999993,N/A
495,N1,LRP213,209.855,22.5514167,91.6896941,Ctg 32 km,link,,144.00000000000546,N/A
496,N1,LRP213A,209.999,22.5503056,91.6902774,Bridge start,bridge,Box Culvert,31.00000000000591,A
497,N1,LRP213B,210.03,22.5501667,91.6903886,Bridge end,bridge,Box Culvert,824.9999999999886,A
498,N1,LRP214,210.855,22.5438886,91.6945274,Km post missing,link,,118.99999999999977,N/A
499,N1,LRP214A,210.974,22.5428608,91.6950274,Box culvert,bridge,Box Culvert,882.000000000005,A
500,N1,LRP215,211.856,22.5354997,91.6979441,Ctg 30 km,link,,90.00000000000341,N/A
501,N1,LRP215A,211.946,22.5347774,91.698333,Box culvert,bridge,Box Culvert,909.9999999999966,A
502,N1,LRP216,212.856,22.5273049,91.7019444,Km post missing,link,,956.9999999999936,N/A
503,N1,LRP216A,213.813,22.519416,91.7053611,Bridge start,bridge,Arch Masonry,18.000000000000682,B
504,N1,LRP216B,213.831,22.519265407228914,91.70540328072288,Bridge end,bridge,Arch Masonry,64.99999999999773,B
505,N1,LRP217,213.896,22.5187216,91.7055556,Ctg 28 km,link,,276.00000000001046,N/A
506,N1,LRP217A,214.172,22.5165556,91.7065833,Bridge start,bridge,Bridge,45.000000000015916,A
507,N1,LRP217B,214.217,22.5161667,91.70675,Bridge end,bridge,Bridge,181.99999999998795,A
508,N1,LRP217C,214.399,22.5147222,91.7074444,Box culvert,bridge,Bridge,193.9999999999884,A
509,N1,LRP217D,214.593,22.5131389,91.7080833,Bridge start,bridge,Bridge,40.99999999999682,A
510,N1,LRP217E,214.634,22.5127778,91.7082222,Bridge end,bridge,Bridge,262.00000000000045,A
511,N1,LRP218,214.896,22.5106111,91.7090833,Km post missing,link,,144.00000000000546,N/A
512,N1,LRP218A,215.04,22.5094444,91.7096389,Bridge start,bridge,Box Culvert,12.000000000000455,A
513,N1,LRP218B,215.052,22.5093611,91.7096944,Bridge end,bridge,Bridge,239.00000000000432,A
514,N1,LRP218C,215.291,22.5074444,91.7105556,Bridge start,bridge,Box Culvert,18.000000000000682,A
515,N1,LRP218D,215.309,22.5073056,91.7106389,Bridge end,bridge,Box Culvert,530.0000000000011,A
516,N1,LRP218E,215.839,22.503,91.7128056,Box culvert,bridge,Bridge,56.99999999998795,A
517,N1,LRP219,215.896,22.5025556,91.7130556,Km post missing,link,,685.0000000000023,N/A
518,N1,LRP219A,216.581,22.4969163,91.7155556,Bridge start,bridge,Box Culvert,19.000000000005457,B
519,N1,LRP219B,216.6,22.4968052,91.7156389,Bridge end,bridge,Bridge,295.99999999999227,A
520,N1,LRP220,216.896,22.494583,91.7170827,Km post missing,link,,887.0000000000005,N/A
521,N1,LRP220A,217.783,22.4869441,91.7192771,Box culvert,bridge,Box Culvert,174.0000000000066,A
522,N1,LRP221,217.957,22.4854163,91.7195549,Ctg 24 km,link,,296.99999999999704,N/A
523,N1,LRP221A,218.254,22.48280706570156,91.72005100244988,Box culvert,bridge,Bridge,600.9999999999991,B
524,N1,LRP221B,218.855,22.4775271,91.7210549,Bridge start,bridge,Bridge,25.000000000005684,B
