bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
766,Box culvert,N1,A,156.99999999998226,False,0.0
768,Box culvert,N1,A,264.00000000001,False,0.0
769,Box culvert,N1,A,672.999999999945,False,0.0
771,Box culvert,N1,A,302.99999999999727,False,0.0
772,Box culvert,N1,A,146.99999999999136,False,0.0
774,Box culvert,N1,A,510.99999999996726,False,0.0
775,Box culvert,N1,A,270.00000000003865,False,0.0
780,Box culvert,N1,A,281.99999999998226,False,0.0
782,Box culvert,N1,A,178.99999999997362,False,0.0
784,Box culvert,N1,A,500.9999999999764,False,0.0
786,Box culvert,N1,A,93.00000000001774,False,0.0
788,Bridge start,N1,A,59.00000000002592,False,0.0
789,Bridge end,N1,A,723.9999999999895,False,0.0
791,Box culvert,N1,A,228.999999999985,False,0.0
792,Box culvert,N1,A,764.9999999999864,False,0.0
794,Box culvert,N1,A,322.0000000000028,True,4294.206541753965
795,Box culvert,N1,A,482.0000000000277,False,0.0
797,Box culvert,N1,A,170.99999999999227,False,0.0
800,Bridge start,N1,A,48.00000000000182,False,0.0
801,Bridge end,N1,A,516.9999999999959,False,0.0
802,Box culvert,N1,A,149.0000000000009,False,0.0
804,Box culvert,N1,A,831.0000000000173,False,0.0
807,Bridge start,N1,A,14.999999999986358,False,0.0
808,Bridge end,N1,A,10.000000000047748,False,0.0
811,Box culvert,N1,A,100.00000000002274,False,0.0
812,Box culvert,N1,A,137.9999999999768,False,0.0
814,Box culvert,N1,B,819.0000000000168,False,0.0
816,Box culvert,N1,A,224.9999999999659,False,0.0
817,Box culvert,N1,A,195.00000000005,False,0.0
819,Box culvert,N1,A,293.0000000000064,True,4325.771142936432
821,Bridge start,N1,C,310.9999999999786,True,4348.52369367489
822,Bridge end,N1,C,428.9999999999736,False,0.0
828,Box culvert,N1,A,140.9999999999627,False,0.0
830,Box culvert,N1,A,680.0000000000068,False,0.0
831,Box culvert,N1,A,181.00000000004,False,0.0
832,Bridge start,N1,A,38.99999999998727,False,0.0
833,Bridge end,N1,A,69.00000000001683,False,0.0
835,Box culvert,N1,A,163.0000000000109,False,0.0
838,Pipe Culvert,N1,Unknown,612.9999999999995,False,0.0
840,Box culvert,N1,A,489.0000000000328,False,0.0
842,Box culvert,N1,A,697.9999999999791,False,0.0
846,Bridge start,N1,A,61.99999999995498,False,0.0
847,Bridge end,N1,A,423.0000000000018,False,0.0
848,Box culvert,N1,A,34.00000000004866,False,0.0
851,Box culvert,N1,A,143.0000000000291,False,0.0
853,Bridge start,N1,A,55.99999999998317,False,0.0
854,Bridge end,N1,C,783.9999999999918,False,0.0
856,Bridge start,N1,C,62.00000000001182,False,0.0
857,Bridge end,N1,A,17.99999999997226,False,0.0
858,Box culvert,N1,A,251.0000000000332,False,0.0
859,Box culvert,N1,A,447.00000000000273,False,0.0
863,Box culvert,N1,B,266.00000000001955,False,0.0
865,Bridge start,N1,A,50.99999999998772,False,0.0
866,Bridge end,N1,A,58.99999999996908,False,0.0
869,Box culvert,N1,A,179.99999999994998,False,0.0
870,Box culvert,N1,A,797.0000000000255,False,0.0
872,Box culvert,N1,A,341.0000000000082,False,0.0
873,Box culvert,N1,A,601.9999999999754,False,0.0
875,Box culvert,N1,A,326.0000000000218,False,0.0
876,Box culvert,N1,A,503.9999999999623,False,0.0
878,Box culvert,N1,C,168.00000000000637,False,0.0
879,Box culvert,N1,A,730.9999999999945,False,0.0
881,Box culvert,N1,A,840.9999999999513,False,0.0
883,Box Culvert,N1,A,326.0000000000218,False,0.0
885,Box Culvert,N1,A,120.9999999999809,False,0.0
886,Box Culvert,N1,A,746.0000000000377,False,0.0
888,Bridge start,N1,A,52.00000000002092,False,0.0
889,Bridge end,N1,A,423.0000000000018,False,0.0
890,Bridge start,N1,A,45.99999999999227,False,0.0
891,Bridge end,N1,A,182.99999999999272,False,0.0
895,Box culvert,N1,A,212.000000000046,False,0.0
896,Box culvert,N1,A,343.9999999999941,False,0.0
897,Bridge start,N1,A,19.99999999998181,False,0.0
898,Bridge end,N1,A,139.00000000001,False,0.0
899,Box culvert,N1,A,161.99999999997772,False,0.0
901,Box culvert,N1,A,423.9999999999782,False,0.0
902,Box culvert,N1,A,27.000000000043656,True,69779.27194855495
904,Box culvert,N1,A,204.00000000000773,False,0.0
905,Box culvert,N1,A,283.9999999999918,False,0.0
907,Box culvert,N1,A,88.99999999999864,False,0.0
909,Box culvert,N1,A,904.9999999999728,False,0.0
912,Box culvert,N1,Unknown,700.0000000000455,False,0.0
914,Box culvert,N1,A,250.0,False,0.0
915,Box culvert,N1,A,522.0000000000482,False,0.0
917,Bridge start,N1,A,59.00000000002592,False,0.0
918,Bridge end,N1,A,533.9999999999918,False,0.0
919,Box culvert,N1,B,367.0000000000186,False,0.0
922,Box culvert,N1,A,421.9999999999686,False,0.0
923,Box culvert,N1,A,222.00000000003683,False,0.0
926,Box culvert,N1,A,223.9999999999896,False,0.0
927,Bridge start,N1,A,56.00000000004002,False,0.0
